Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0
2054,39018.04971355731,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2055,39239.50456093396,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2056,39239.50456093396,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2057,35439.589013717916,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2058,26114.03345816236,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2059,16788.477902606803,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2060,7462.922347051246,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2061,1735.8073205489616,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2062,82.65370674055897,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2063,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2064,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2065,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2066,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2067,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2068,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2069,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2070,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2071,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2072,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2073,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2074,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2075,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2076,698.9690884706258,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2077,1552.527684035519,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2078,1632.4504046679363,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2079,1632.4504046679363,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2080,1632.4504046679363,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2081,1632.4504046679363,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2082,1632.4504046679363,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2083,118.7650828208795,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2084,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2085,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2086,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2087,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2088,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
