Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0,DKW1,DKE1
90,308582.89943856915,56340.000000000015,0.0,0.0,4.181221220892205e6,1.0493037092351928e7,2.8720941341955457e7,0.0,0.0
91,310009.3951312987,56340.000000000015,0.0,0.0,4.178903746689428e6,1.0490825983571522e7,2.872179496774336e7,0.0,0.0
92,311435.89082402823,56340.000000000015,0.0,0.0,4.1767380246917848e6,1.0488626067977494e7,2.872263454819053e7,0.0,0.0
93,312862.3865167578,56340.000000000015,0.0,0.0,4.1746987660330087e6,1.0486457938935293e7,2.8723472438244317e7,0.0,0.0
94,314288.8822094873,56340.000000000015,0.0,0.0,4.1728129430210004e6,1.0484343565050991e7,2.872440228961547e7,0.0,0.0
95,315715.37790221686,56340.000000000015,0.0,0.0,4.172657197103068e6,1.048231532605531e7,2.8724227033023622e7,0.0,0.0
96,317141.8735949464,56340.000000000015,0.0,0.0,4.172645407489112e6,1.0480379984021468e7,2.8724674979237027e7,0.0,0.0
97,318568.36928767595,57870.000000000015,0.0,0.0,4.1711720871716924e6,1.0478504043783993e7,2.8727255207199533e7,0.0,0.0
98,319994.8649804055,57870.000000000015,0.0,0.0,4.1712812824883224e6,1.0476734869076742e7,2.8729180616622817e7,0.0,0.0
99,321421.36067313503,57870.000000000015,0.0,0.0,4.169760935305918e6,1.0474992465017984e7,2.873288376394753e7,0.0,0.0
100,322847.8563658646,57870.000000000015,0.0,0.0,4.1696810114888083e6,1.0473265831937253e7,2.8735077554451838e7,0.0,0.0
101,324274.3520585941,57870.000000000015,0.0,0.0,4.1694599971533823e6,1.047152986857528e7,2.873715131584423e7,0.0,0.0
102,325700.84775132366,57870.000000000015,0.0,0.0,4.1675005199080175e6,1.0469732524098646e7,2.8740143317273393e7,0.0,0.0
103,327127.3434440532,57870.000000000015,0.0,0.0,4.165257049382257e6,1.0467783597114824e7,2.8741450706474334e7,0.0,0.0
104,328553.83913678274,57870.000000000015,0.0,0.0,4.1626859295105096e6,1.0465622647272633e7,2.8740894444954675e7,0.0,0.0
105,329980.3348295123,57870.000000000015,0.0,0.0,4.1599578678699317e6,1.0463350402259188e7,2.87398664787464e7,0.0,0.0
106,331406.8305222418,57870.000000000015,0.0,0.0,4.15717844492382e6,1.046102470463586e7,2.873907877594836e7,0.0,0.0
107,332833.32621497137,57870.000000000015,0.0,0.0,4.154381887267677e6,1.0458653179110145e7,2.8738597100647226e7,0.0,0.0
108,334259.8219077009,57870.000000000015,0.0,0.0,4.151612675806471e6,1.0456225055705277e7,2.8738520988343146e7,0.0,0.0
109,335686.31760043046,57870.000000000015,0.0,0.0,4.1488312751806513e6,1.0453743843920767e7,2.8738719323536493e7,0.0,0.0
110,337112.81329316,57870.000000000015,0.0,0.0,4.1460168594022747e6,1.0451172350109326e7,2.8739022223919433e7,0.0,0.0
111,338539.30898588954,57870.000000000015,0.0,0.0,4.1431997623373913e6,1.0448499763112204e7,2.873933311956698e7,0.0,0.0
112,339965.8046786191,57870.000000000015,0.0,0.0,4.1403784614511747e6,1.0445723404265461e7,2.8739326052338224e7,0.0,0.0
113,341392.3003713486,57870.000000000015,0.0,0.0,4.1390913283165987e6,1.0442861218858004e7,2.8737127470329076e7,0.0,0.0
114,342818.79606407817,59400.000000000015,0.0,0.0,4.137788751124983e6,1.0439924594154334e7,2.8734898483355492e7,0.0,0.0
115,344245.2917568077,59400.000000000015,0.0,0.0,4.13491428096392e6,1.0436932132556664e7,2.8734301688353837e7,0.0,0.0
116,345671.78744953725,59400.000000000015,0.0,0.0,4.1320544631232144e6,1.0433946687038757e7,2.8733934354872044e7,0.0,0.0
117,346501.88303736184,59400.000000000015,0.0,0.0,4.129229461613599e6,1.0431036002200382e7,2.873388300428427e7,0.0,0.0
118,347928.37873009144,59400.000000000015,0.0,0.0,4.1280213686653385e6,1.042824016441233e7,2.873264648912373e7,0.0,0.0
119,349354.87442282104,59400.000000000015,0.0,0.0,4.125381018465927e6,1.0425583173996828e7,2.87336341895061e7,0.0,0.0
120,350781.37011555064,59400.000000000015,0.0,0.0,4.122910154006732e6,1.042307895556625e7,2.873614056488083e7,0.0,0.0
121,352207.86580828024,59400.000000000015,0.0,0.0,4.120643552298974e6,1.0420679284368508e7,2.8739289390913278e7,0.0,0.0
