,Node,Generator_ID,Parameter,Category,Case,Scenario,Year,Climate Year,Value,Simulation_ID,Node 1,Path,Simulation_type,Sector,Note
121,DKW1,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,4385.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
122,EE00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,784.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
123,ES00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,139431.0,DE2040-2007 Update,,,IoSN Lite,Electricity,Generation in Spain excludes Balearic islands
124,FI00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,4236.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
125,FR00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,90806.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
126,FR15,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,687.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
127,GR00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,25313.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
128,GR03,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,1016.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
129,HR00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,7473.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
130,HU00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,18216.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
131,IE00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,4516.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
132,ITCN,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,11489.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
133,ITCS,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,13528.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
134,ITN1,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,45125.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
135,ITS1,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,12253.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
136,ITSA,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,4569.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
137,ITSI,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,6622.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
138,LT00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,2596.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
139,LUG1,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,231.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
140,LV00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,491.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
141,ME00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,1066.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
142,MK00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,2835.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
143,MT00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,915.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
144,NL00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,18614.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
145,NOS0,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,1790.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
146,PL00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,26017.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
147,PT00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,25823.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
148,RO00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,10727.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
149,RS00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,10373.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
150,SE02,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,166.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
