Timestep,Lambda value FC Submodel 1
1536,96.26363637607271
1537,14.5
1538,14.5
1539,14.5
1540,14.0
1541,14.0
1542,14.5
1543,14.5
1544,14.5
1545,14.0
1546,14.0
1547,14.0
1548,14.0
1549,14.0
1550,14.0
1551,14.0
1552,14.0
1553,14.0
1554,14.0
1555,14.0
1556,14.0
1557,14.0
1558,14.5
1559,14.5
1560,14.5
1561,14.5
1562,95.8636
1563,96.0636
1564,96.0636
1565,96.26363637607271
1566,96.4636
1567,96.6636
1568,102.0
1569,102.0
1570,96.6636
1571,96.4636
1572,96.4636
1573,96.26363637607271
1574,96.26363637607271
1575,102.0
1576,102.0
1577,131.7625000171
1578,8000.0
1579,131.7625000171
1580,131.7625000171
1581,119.5
1582,119.0
1583,102.0
1584,96.4636
1585,96.0636
1586,37.0
1587,14.5
1588,14.5
1589,14.5
1590,14.5
1591,14.5
1592,14.5
1593,14.5
1594,14.5
1595,14.5
1596,14.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,14.0
1607,14.0
1608,14.0
1609,0.0
1610,0.0
1611,11.34
1612,14.0
1613,14.0
1614,14.0
1615,14.5
1616,14.5
1617,14.5
1618,14.5
1619,14.5
1620,14.5
1621,14.5
1622,14.5
1623,96.0636
1624,96.26363637607271
1625,102.0
1626,119.0
1627,119.0
1628,119.0
1629,102.0
1630,102.0
1631,102.0
1632,102.0
1633,102.0
1634,102.0
1635,96.26363637607271
1636,96.26363637607271
1637,96.2636
1638,95.8636
1639,95.8636
1640,14.5
1641,14.5
1642,14.5
1643,14.5
1644,14.0
1645,14.0
1646,14.0
1647,14.0
1648,14.5
1649,14.5
1650,14.5
1651,14.5
1652,14.5
1653,14.5
1654,14.5
1655,14.5
1656,14.5
1657,14.5
1658,14.5
1659,14.5
1660,14.5
1661,14.5
1662,14.5
1663,95.8636
1664,95.8636
1665,96.0636
1666,95.8636
1667,14.5
1668,14.5
1669,14.5
1670,14.5
1671,37.0
1672,96.0636
1673,96.26363637607271
1674,96.4636
1675,96.4636
1676,96.26363637607271
1677,96.26363637607271
1678,96.4636
1679,96.4636
1680,96.4636
1681,96.4636
1682,96.4636
1683,96.4636
1684,96.4636
1685,96.4636
1686,96.4636
1687,96.4636
1688,96.26363637607271
1689,101.5
1690,96.26363637607271
1691,96.2636
1692,96.0636
1693,96.0636
1694,96.0636
1695,96.2636
1696,96.4636
1697,102.0
1698,119.0
1699,118.59703703703703
1700,102.0
1701,102.0
1702,102.0
1703,102.0
1704,96.6636
1705,96.4636
1706,96.4636
1707,96.4636
1708,96.4636
1709,96.4636
1710,96.4636
1711,96.4636
1712,102.0
1713,102.0
1714,101.5
1715,96.26363637607271
1716,96.0636
1717,96.0636
1718,96.0636
1719,96.26363637607271
1720,102.0
1721,119.0
1722,119.5
1723,119.5
1724,119.0
1725,119.0
1726,119.5
1727,119.5
1728,119.0
1729,117.10455501568195
1730,102.0
1731,118.5
1732,118.5
1733,118.5
1734,119.5
1735,126.0
1736,119.0
1737,118.5
1738,102.0
1739,101.5
1740,96.4636
1741,96.26363637607271
1742,96.4636
1743,101.5
1744,102.0
1745,119.0
1746,131.7625000171
1747,130.8125
1748,126.0
1749,119.0
1750,126.0
1751,126.0
1752,119.0
1753,102.0
1754,102.0
1755,102.0
1756,102.0
1757,118.5
1758,119.0
1759,119.5
1760,118.5
1761,102.0
1762,101.5
1763,96.26363637607271
1764,96.26363637607271
1765,96.26363637607271
1766,96.26363637607271
1767,101.5
1768,102.0
1769,119.0
1770,131.7625000171
1771,130.8125
1772,130.8125
1773,126.0
1774,119.0
1775,118.5
1776,102.0
1777,101.5
1778,96.4636
1779,96.4636
1780,96.26363637607271
1781,96.26363637607271
1782,96.4636
1783,96.4636
1784,78.0
1785,14.5
1786,14.5
1787,14.5
1788,14.5
1789,14.5
1790,96.0636
1791,96.0636
1792,96.26363637607271
1793,96.4636
1794,96.4636
1795,96.26363637607271
1796,14.5
1797,14.0
1798,0.0
1799,14.0
1800,14.0
1801,14.0
1802,14.0
1803,14.0
1804,14.5
1805,14.5
1806,14.5
1807,14.5
1808,14.5
1809,14.5
1810,14.5
1811,14.5
1812,14.5
1813,14.5
1814,14.5
1815,14.5
1816,95.8636
1817,96.0636
1818,96.26363637607271
1819,96.26363637607271
1820,96.0636
1821,14.5
1822,14.5
1823,14.5
1824,14.5
1825,14.5
1826,14.5
1827,14.5
1828,96.0636
1829,96.0636
1830,96.0636
1831,96.0636
1832,95.8636
1833,96.0636
1834,96.0636
1835,96.0636
1836,96.0636
1837,96.0636
1838,14.5
1839,96.0636
1840,96.0636
1841,96.4636
1842,101.5
1843,101.5
1844,101.5
1845,101.5
1846,101.5
1847,101.5
1848,96.26363637607271
1849,96.2636
1850,14.5
1851,14.5
1852,96.0636
1853,96.2636
1854,96.26363637607271
1855,96.0636
1856,96.0636
1857,96.26363637607271
1858,96.26363637607271
1859,96.2636
1860,96.0636
1861,96.0636
1862,96.2636
1863,96.26363637607271
1864,101.5
1865,118.5
1866,102.0
1867,102.0
1868,101.5
1869,101.5
1870,102.0
1871,102.0
1872,102.0
1873,96.26363637607271
1874,96.26363637607271
1875,96.26363637607271
1876,96.26363637607271
1877,96.26363637607271
1878,96.4636
1879,96.4636
1880,96.4636
1881,96.4636
1882,96.26363637607271
1883,96.0636
1884,96.0636
1885,96.0636
1886,96.0636
1887,96.0636
1888,96.26363637607271
1889,118.5
1890,119.5
1891,119.5
1892,118.5
1893,102.0
1894,96.6636
1895,96.4636
1896,96.2636
1897,96.0636
1898,96.0636
1899,96.0636
1900,96.0636
1901,96.0636
1902,96.0636
1903,96.26363637607271
1904,96.0636
1905,95.8636
1906,95.8636
1907,37.0
1908,37.0
1909,14.5
1910,78.0
1911,96.0636
1912,96.2636
1913,96.4636
1914,118.5
1915,119.0
1916,118.5
1917,118.5
1918,118.5
1919,118.5
1920,118.5
1921,96.4636
